,0,3OH10,chitooctaose,eATP,self,sflg,sIF1,smock,snlp,sOGs,spep,sPGN
11498,AT5G52870,0,0,0,1,1,0,0,1,1,1,0
11499,AT5G52890,0,0,0,1,0,0,0,0,0,0,0
11500,AT5G52910,0,0,0,1,0,0,0,0,0,0,0
11501,AT5G52920,0,0,0,1,0,0,0,0,0,0,0
11502,AT5G52950,0,0,0,0,0,0,0,0,0,1,0
11503,AT5G52980,0,0,0,1,1,0,0,1,0,1,0
11504,AT5G52990,0,0,0,0,0,0,0,0,0,1,0
11505,AT5G53000,0,0,0,1,1,0,0,1,0,1,0
11506,AT5G53010,0,0,0,0,0,0,0,0,0,1,0
11507,AT5G53030,0,0,0,1,0,0,0,0,0,0,0
11508,AT5G53048,0,0,1,1,1,1,1,1,0,1,1
11509,AT5G53050,0,0,0,1,1,0,0,1,0,1,0
11510,AT5G53060,0,0,0,1,1,0,0,0,0,1,0
11511,AT5G53110,1,0,0,1,1,1,0,1,1,1,0
11512,AT5G53120,0,0,0,1,0,0,0,0,0,0,0
11513,AT5G53130,0,0,0,1,1,0,0,0,0,1,0
11514,AT5G53140,0,0,0,1,0,0,0,0,0,0,0
11515,AT5G53170,0,0,0,1,0,0,0,0,0,0,0
11516,AT5G53250,0,0,0,0,0,0,0,0,1,0,0
11517,AT5G53280,0,0,0,0,0,0,0,0,0,1,0
11518,AT5G53290,0,0,0,1,1,0,0,1,1,1,0
11519,AT5G53300,0,0,0,1,1,0,0,0,0,0,0
11520,AT5G53310,0,0,0,1,1,0,0,0,0,0,0
11521,AT5G53330,0,0,0,1,0,0,0,0,0,0,0
11522,AT5G53350,0,0,0,1,0,0,0,0,0,1,0
11523,AT5G53360,0,0,0,1,1,0,0,1,0,1,0
11524,AT5G53370,0,0,0,1,0,0,0,0,0,1,0
11525,AT5G53400,0,0,0,1,0,0,0,1,1,1,0
11526,AT5G53420,0,0,0,1,0,0,0,1,1,1,0
11527,AT5G53440,0,0,0,1,1,0,0,0,0,1,0
11528,AT5G53450,0,0,0,1,1,0,0,0,0,0,0
11529,AT5G53460,0,0,0,0,0,0,0,0,0,1,0
11530,AT5G53470,0,0,0,0,0,0,0,0,0,1,0
11531,AT5G53480,0,0,0,1,0,0,0,0,0,0,0
11532,AT5G53486,0,0,0,0,0,1,1,0,1,1,0
11533,AT5G53530,0,0,0,1,0,0,0,1,0,0,0
11534,AT5G53550,0,0,0,1,1,0,0,1,1,1,0
11535,AT5G53560,0,0,0,1,1,0,0,1,0,0,0
11536,AT5G53570,0,0,0,1,1,0,0,1,0,1,0
11537,AT5G53592,0,0,0,0,0,0,0,1,0,0,0
11538,AT5G53730,1,0,0,0,0,0,0,0,0,0,0
11539,AT5G53740,0,0,1,1,1,0,0,1,1,1,1
11540,AT5G53750,0,0,0,1,0,0,1,1,1,1,0
11541,AT5G53760,0,0,0,1,0,0,0,0,1,1,0
11542,AT5G53800,0,0,0,1,1,0,0,1,0,1,0
11543,AT5G53810,0,0,0,0,0,0,0,0,0,1,0
11544,AT5G53820,0,1,0,0,0,1,0,0,0,0,1
11545,AT5G53830,0,1,0,1,1,1,0,1,1,1,1
11546,AT5G53870,0,0,0,1,0,0,0,0,0,0,0
11547,AT5G53890,0,0,0,1,0,0,0,0,0,1,0
11548,AT5G53920,0,0,0,1,0,0,0,0,0,0,0
11549,AT5G53930,0,0,0,1,1,0,0,0,0,1,0
11550,AT5G53970,0,0,0,1,0,0,0,0,0,1,0
11551,AT5G53990,0,0,0,1,1,0,0,1,1,1,0
11552,AT5G54020,0,0,0,1,0,1,0,0,0,0,0
11553,AT5G54040,0,0,0,1,0,0,0,0,1,1,0
11554,AT5G54050,0,0,0,1,0,0,0,0,0,0,0
11555,AT5G54060,0,0,0,1,0,0,0,0,0,1,0
11556,AT5G54080,0,0,0,0,1,0,0,0,0,1,0
11557,AT5G54090,0,1,0,0,0,0,0,0,0,0,0
11558,AT5G54100,0,0,0,0,0,0,0,0,0,1,0
11559,AT5G54110,0,0,0,1,1,0,0,1,0,1,0
11560,AT5G54140,0,0,0,1,1,0,0,1,1,1,0
11561,AT5G54148,0,0,0,1,0,0,0,0,0,0,0
11562,AT5G54160,0,0,0,1,1,0,0,1,1,1,0
11563,AT5G54165,0,0,0,1,1,0,0,1,0,1,0
11564,AT5G54170,0,0,0,1,1,0,0,1,0,1,0
11565,AT5G54200,0,0,0,0,0,0,0,0,0,1,0
11566,AT5G54230,0,0,0,0,1,0,0,0,1,0,0
11567,AT5G54250,0,0,0,1,0,0,0,0,0,0,0
11568,AT5G54280,0,0,0,1,1,0,0,0,0,1,0
11569,AT5G54290,0,0,0,1,0,0,0,0,0,0,0
11570,AT5G54300,0,0,0,1,1,0,0,1,0,1,0
11571,AT5G54310,0,0,0,1,1,0,0,1,0,1,0
11572,AT5G54370,0,0,0,0,0,0,0,0,1,1,0
11573,AT5G54380,0,0,0,1,0,0,0,0,0,0,0
11574,AT5G54390,0,0,0,0,0,0,0,1,0,1,0
11575,AT5G54400,0,0,0,0,0,0,0,0,0,1,0
11576,AT5G54430,0,0,0,1,0,0,0,0,0,0,0
11577,AT5G54440,0,0,0,1,0,0,0,0,0,0,0
11578,AT5G54470,0,0,0,1,1,0,0,0,1,1,1
